YEAR,Primary energy consumption (EJ)
1980,279.46
1981,278.16
1982,276.46
1983,280.94
1984,294.42
1985,302.23
1986,308.88
1987,319.66
1988,331.88
1989,338.31
1990,342.23
1991,344.63
1992,347.22
1993,349.63
1994,354.11
1995,361.52
1996,372.13
1997,375.67
1998,378.02
1999,384.85
2000,394.5
2001,398.45
2002,407.18
2003,421.74
2004,442.23
2005,457.08
2006,470.14
2007,484.67
2008,490.23
2009,482.82
2010,506.02
2011,518.31
2012,524.98
2013,534.91
2014,539.25
2015,543.17
2016,550.6
2017,560.42
2018,576.23
2019,583.9
