observation,year,month,date,Area,Rainfall,Daylight,Population,CO2,Ozone,OceanTemperature_NorthernHemisphere,LandTemperature_Northern Hemisphere,MaxTemperature_NorthSlopeAlaska,AvgTemperature_NorthSlopeAlaska,MinTemperature_NorthSlopeAlaska,GDP_WORLD
1,1980,1,01/01/1980,0.829,0.1,0.088,0,0.02163,0.528,0.3516,0.2932,0.2115,0.2016,0.1895,0
2,1980,2,01/02/1980,0.913,0.1,0.288,0.002,0.02706,0.78602,0.3281,0.3784,0.3101,0.2887,0.2608,0.00134887
3,1980,3,01/03/1980,0.921,0,0.494,0.004,0.0477,0.87686,0.2969,0.193,0.3068,0.2978,0.2854,0.00269773
4,1980,4,01/04/1980,0.88,0.05,0.706,0.0059,0.05907,0.86664,0.2188,0.3484,0.4042,0.3975,0.386,0.0040466
5,1980,5,01/05/1980,0.744,0.2,0.925,0.0079,0.06587,0.70773,0.2813,0.3559,0.639,0.6552,0.6632,0.00539546
6,1980,6,01/06/1980,0.574,0.65,1.088,0.0099,0.06389,0.48839,0.2813,0.3233,0.8671,0.882,0.8842,0.00674433
7,1980,7,01/07/1980,0.359,1,0.994,0.0119,0.04016,0.3138,0.2656,0.3058,0.8926,0.9061,0.9076,0.00809319
8,1980,8,01/08/1980,0.22,0.85,0.775,0.0138,0.01915,0.18522,0.25,0.2882,0.8217,0.8419,0.8526,0.00944206
9,1980,9,01/09/1980,0.214,0.4,0.563,0.0158,0.00049,0.11965,0.2266,0.2932,0.6633,0.6873,0.7029,0.01079092
10,1980,10,01/10/1980,0.356,0.35,0.35,0.0178,0,0.1644,0.1484,0.3133,0.5194,0.543,0.5591,0.01213979
11,1980,11,01/11/1980,0.55,0.2,0.144,0.0197,0.01384,0.2448,0.1172,0.4486,0.3355,0.3528,0.3649,0.01348865
12,1980,12,01/12/1980,0.728,0.25,0,0.0217,0.02682,0.25444,0.1719,0.3559,0.1517,0.1558,0.1579,0.01483752
13,1981,1,01/01/1981,0.827,0.1,0.088,0.0236,0.0388,0.58589,0.3047,0.6491,0.4186,0.4204,0.4175,0.01526291
14,1981,2,01/02/1981,0.881,0.1,0.288,0.0256,0.05437,0.80862,0.2813,0.5489,0.227,0.2131,0.1942,0.01568831
15,1981,3,01/03/1981,0.896,0,0.494,0.0276,0.06747,0.80076,0.2969,0.5865,0.3311,0.323,0.3111,0.01611371
16,1981,4,01/04/1981,0.856,0.05,0.706,0.0295,0.07884,0.7213,0.2578,0.4461,0.4585,0.4273,0.3883,0.01653911
17,1981,5,01/05/1981,0.747,0.2,0.925,0.0315,0.08502,0.60884,0.2578,0.3183,0.7076,0.7216,0.7263,0.01696451
18,1981,6,01/06/1981,0.576,0.65,1.088,0.0335,0.07897,0.45167,0.2969,0.3609,0.8505,0.8625,0.8643,0.01738991
19,1981,7,01/07/1981,0.339,1,0.994,0.0355,0.05722,0.29402,0.2266,0.3058,0.8915,0.9084,0.9135,0.01781531
20,1981,8,01/08/1981,0.18,0.85,0.775,0.0374,0.0283,0.1502,0.2109,0.3409,0.8117,0.8385,0.8538,0.01824071
21,1981,9,01/09/1981,0.177,0.4,0.563,0.0394,0.00989,0.07937,0.25,0.2907,0.6678,0.6976,0.7205,0.01866611
22,1981,10,01/10/1981,0.336,0.35,0.35,0.0414,0.01149,0.14252,0.2734,0.2832,0.4994,0.5315,0.5567,0.01909151
23,1981,11,01/11/1981,0.513,0.2,0.144,0.0433,0.03003,0.30782,0.2969,0.3409,0.3378,0.3574,0.3719,0.01951691
24,1981,12,01/12/1981,0.708,0.25,0,0.0453,0.04609,0.48566,0.3281,0.5388,0.2458,0.26,0.2702,0.0199423
25,1982,1,01/01/1982,0.851,0.1,0.088,0.0472,0.05944,0.73533,0.2109,0.1855,0.2049,0.2039,0.2,0.01982494
26,1982,2,01/02/1982,0.91,0.1,0.288,0.0492,0.06896,0.69933,0.2734,0.2957,0.299,0.2784,0.2526,0.01970758
27,1982,3,01/03/1982,0.928,0,0.494,0.0512,0.0823,0.746,0.2656,0.2005,0.2746,0.2669,0.2561,0.01959022
28,1982,4,01/04/1982,0.889,0.05,0.706,0.0531,0.09664,0.83801,0.2188,0.3584,0.4131,0.3906,0.3626,0.01947286
29,1982,5,01/05/1982,0.762,0.2,0.925,0.0551,0.10479,0.73305,0.25,0.2807,0.6069,0.6186,0.6222,0.0193555
30,1982,6,01/06/1982,0.614,0.65,1.088,0.057,0.09441,0.5146,0.2344,0.2506,0.8494,0.8648,0.869,0.01923814
31,1982,7,01/07/1982,0.388,1,0.994,0.059,0.07625,0.28218,0.1563,0.2982,0.9291,0.9359,0.9298,0.01912077
32,1982,8,01/08/1982,0.225,0.85,0.775,0.061,0.04869,0.16798,0.1406,0.2456,0.8505,0.8671,0.8713,0.01900341
33,1982,9,01/09/1982,0.176,0.4,0.563,0.063,0.02632,0.13354,0.1641,0.3108,0.7054,0.7446,0.7754,0.01888605
34,1982,10,01/10/1982,0.371,0.35,0.35,0.065,0.02645,0.14136,0.2188,0.2406,0.4075,0.4273,0.4421,0.01876869
35,1982,11,01/11/1982,0.579,0.2,0.144,0.0669,0.04263,0.15525,0.2031,0.1579,0.2636,0.2818,0.2982,0.01865133
36,1982,12,01/12/1982,0.737,0.25,0,0.0689,0.0587,0.27396,0.2656,0.4511,0.2392,0.26,0.2795,0.01853397
37,1983,1,01/01/1983,0.836,0.1,0.088,0.0708,0.06834,0.49893,0.2813,0.4962,0.1307,0.134,0.1357,0.01878363
38,1983,2,01/02/1983,0.916,0.1,0.288,0.0728,0.08342,0.65904,0.2188,0.4536,0.1938,0.2039,0.2117,0.0190333
39,1983,3,01/03/1983,0.916,0,0.494,0.0748,0.08873,0.71291,0.2891,0.401,0.2392,0.2325,0.2234,0.01928297
40,1983,4,01/04/1983,0.853,0.05,0.706,0.0768,0.11246,0.72296,0.2344,0.2757,0.4574,0.4559,0.448,0.01953263
41,1983,5,01/05/1983,0.736,0.2,0.925,0.0788,0.1221,0.59151,0.2344,0.2857,0.6334,0.6369,0.6327,0.0197823
42,1983,6,01/06/1983,0.597,0.65,1.088,0.0807,0.11715,0.41385,0.2656,0.2907,0.8549,0.8625,0.8585,0.02003196
43,1983,7,01/07/1983,0.387,1,0.994,0.0826,0.09936,0.21617,0.2344,0.3559,0.9169,0.9221,0.9146,0.02028163
44,1983,8,01/08/1983,0.223,0.85,0.775,0.0846,0.07563,0.1322,0.2109,0.4085,0.8095,0.8454,0.8702,0.0205313
45,1983,9,01/09/1983,0.199,0.4,0.563,0.0866,0.0519,0.09142,0.2422,0.3709,0.6645,0.685,0.6971,0.02078096
46,1983,10,01/10/1983,0.381,0.35,0.35,0.0885,0.05227,0.09058,0.1797,0.3133,0.402,0.4296,0.4526,0.02103063
47,1983,11,01/11/1983,0.573,0.2,0.144,0.0904,0.06723,0.23796,0.2031,0.5739,0.3643,0.3757,0.3825,0.0212803
48,1983,12,01/12/1983,0.715,0.25,0,0.0924,0.08527,0.3117,0.2188,0.3333,0.3344,0.3436,0.3497,0.02152996
49,1984,1,01/01/1984,0.807,0.1,0.088,0.0944,0.09825,0.40143,0.2344,0.3835,0.2038,0.197,0.1883,0.02199467
50,1984,2,01/02/1984,0.857,0.1,0.288,0.0964,0.10677,0.81152,0.1797,0.2256,0,0,0,0.02245938
51,1984,3,01/03/1984,0.883,0,0.494,0.0984,0.11579,0.88674,0.2031,0.396,0.2492,0.2428,0.2339,0.02292409
52,1984,4,01/04/1984,0.85,0.05,0.706,0.1003,0.13384,0.81925,0.125,0.2782,0.3355,0.3127,0.2842,0.0233888
53,1984,5,01/05/1984,0.737,0.2,0.925,0.1023,0.14187,0.6431,0.2188,0.406,0.6213,0.6208,0.6117,0.02385351
54,1984,6,01/06/1984,0.581,0.65,1.088,0.1042,0.13384,0.42729,0.1719,0.2857,0.8726,0.8774,0.8713,0.02431822
55,1984,7,01/07/1984,0.339,1,0.994,0.1062,0.11592,0.26244,0.2188,0.2581,0.9247,0.9278,0.917,0.02478293
56,1984,8,01/08/1984,0.198,0.85,0.775,0.1082,0.09145,0.14917,0.1641,0.3033,0.8195,0.8477,0.8667,0.02524764
57,1984,9,01/09/1984,0.148,0.4,0.563,0.1101,0.06488,0.06945,0.2031,0.2206,0.7486,0.7686,0.7789,0.02571235
58,1984,10,01/10/1984,0.305,0.35,0.35,0.1121,0.06822,0.12595,0.1328,0.2356,0.5172,0.5452,0.5673,0.02617706
59,1984,11,01/11/1984,0.507,0.2,0.144,0.1141,0.08552,0.34172,0.0938,0.1704,0.2115,0.2314,0.2503,0.02664177
60,1984,12,01/12/1984,0.684,0.25,0,0.116,0.10566,0.48732,0.0703,0,0.1949,0.1959,0.193,0.02710648
61,1985,1,01/01/1985,0.808,0.1,0.088,0.1182,0.11196,0.63211,0.0859,0.3308,0.3344,0.3482,0.3591,0.02776507
62,1985,2,01/02/1985,0.876,0.1,0.288,0.1205,0.1237,0.73198,0.1016,0.1053,0.1639,0.1501,0.1333,0.02842367
63,1985,3,01/03/1985,0.9,0,0.494,0.1226,0.14323,0.8933,0.0859,0.3008,0.2879,0.2772,0.262,0.02908227
64,1985,4,01/04/1985,0.882,0.05,0.706,0.1249,0.15064,0.90554,0,0.3358,0.3156,0.2852,0.2503,0.02974086
65,1985,5,01/05/1985,0.769,0.2,0.925,0.1271,0.15954,0.63837,0.1094,0.3233,0.6788,0.6758,0.6643,0.03039946
66,1985,6,01/06/1985,0.57,0.65,1.088,0.1293,0.15114,0.44087,0.1484,0.2857,0.8516,0.8637,0.8655,0.03105805
67,1985,7,01/07/1985,0.312,1,0.994,0.1315,0.1305,0.25404,0.1406,0.208,0.9324,0.9278,0.9088,0.03171665
68,1985,8,01/08/1985,0.191,0.85,0.775,0.1337,0.10961,0.14766,0.1016,0.2832,0.8715,0.8809,0.8772,0.03237525
69,1985,9,01/09/1985,0.158,0.4,0.563,0.1359,0.08799,0.07932,0.1875,0.2281,0.6844,0.7205,0.7485,0.03303384
70,1985,10,01/10/1985,0.323,0.35,0.35,0.1382,0.08626,0.13167,0.1328,0.2481,0.4396,0.4662,0.4865,0.03369244
71,1985,11,01/11/1985,0.523,0.2,0.144,0.1404,0.10306,0.20094,0.2266,0.2256,0.3643,0.3643,0.3591,0.03435103
72,1985,12,01/12/1985,0.681,0.25,0,0.1426,0.12024,0.28138,0.2188,0.3158,0.3256,0.3322,0.3357,0.03500963
73,1986,1,01/01/1986,0.824,0.1,0.088,0.1448,0.12865,0.48548,0.125,0.4962,0.1705,0.1775,0.1825,0.03750589
74,1986,2,01/02/1986,0.889,0.1,0.288,0.147,0.13754,0.5452,0.2031,0.4035,0.2868,0.2921,0.2936,0.04000216
75,1986,3,01/03/1986,0.897,0,0.494,0.1492,0.14731,0.88289,0.1328,0.4286,0.2137,0.1913,0.1661,0.04249842
76,1986,4,01/04/1986,0.838,0.05,0.706,0.1515,0.16869,0.79669,0.1797,0.3784,0.3621,0.3265,0.2842,0.04499468
