observation,year,month,date,Area,Rainfall,Daylight,Population,CO2,Ozone,OceanTemperature_NorthernHemisphere,LandTemperature_NorthernHemisphere,MaxTemperature_NorthSlopeAlaska,AvgTemperature_NorthSlopeAlaska,MinTemperature_NorthSlopeAlaska,GDP_WORLD
1,0,0,44197,0,0.1,0.08,1.005800873,0.98615917,0.488928093,0.9516,0.6932,0,0,0.1825,0.954968906
2,0,0,44228,0,0.1,0.264,1.007767277,0.992585269,0.649044216,0.9281,0.7784,0,0,0.2971,0.959649319
3,0,0,44256,0,0,0.454,1.009733681,0.999752842,0.702907548,0.8969,0.593,0,0,0.1906,0.964329733
4,0,0,44287,0,0.05,0.649,1.011700086,1.024962926,0.712956677,0.8188,0.7484,0,0,0.3602,0.969010147
5,0,0,44317,0,0.2,0.851,1.01366649,1.030029659,0.581514069,0.8813,0.7559,0,0,0.7111,0.973690561
6,0,0,44348,0,0.65,1,1.015632894,1.021749876,0.403845467,0.8813,0.7233,0,0,0.8959,0.978370975
7,0,0,44378,0,1,0.914,1.017599298,0.999382106,0.206167932,0.8656,0.7058,0,0,0.9392,0.983051389
8,0,0,44409,0,0.85,0.713,1.019565702,0.976272862,0.122201876,0.85,0.6882,0,0,0.8655,0.987731802
9,0,0,44440,0,0.4,0.517,1.021532106,0.96255561,0.081424743,0.8266,0.6932,0,0,0.8281,0.992412216
10,0,0,44470,0,0.35,0.322,1.02349851,0.96255561,0.08057615,0.7484,0.7133,0,0,0.6573,0.99709263
11,0,0,44501,0,0.2,0.132,1.025464915,0.98393475,0.227963377,0.7172,0.8486,0,0,0.3567,1.001773044
12,0,0,44531,0,0.25,0,1.027431319,1.002595156,0.301701653,0.7719,0.7559,0,0,0.3322,1.006453458
13,0,0,44562,0,0.1,0.08,1.029397723,1.017795353,0.575886556,0.9047,1.0491,0,0,0.248,1.010430369
14,0,0,44593,0,0.1,0.264,1.031364127,1.021749876,0.79861992,0.8813,0.9489,0,0,0.2327,1.014407281
15,0,0,44621,0,0,0.454,1.033330531,1.031141869,0.790759268,0.8969,0.9865,0,0,0.1474,1.018384192
16,0,0,44652,0,0.05,0.649,1.035296935,1.060553633,0.701304154,0.8578,0.8461,0,0,0.5053,1.022361104
17,0,0,44682,0,0.2,0.851,1.03726334,1.060059318,0.588843234,0.8578,0.7183,0,0,0.6468,1.026338016
18,0,0,44713,0,0.65,1,1.039229744,1.052026693,0.431674855,0.8969,0.7609,0,0,0.8994,1.030314927
19,0,0,44743,0,1,0.914,1.041196148,1.03200692,0.274015185,0.8266,0.7058,0,0,0.9696,1.034291839
20,0,0,44774,0,0.85,0.713,1.043162552,1.008403361,0.130200983,0.8109,0.7409,0,0,0.9181,1.038268751
21,0,0,44805,0,0.4,0.517,1.045128956,0.996539792,0.059365788,0.85,0.6907,0,0,0.8117,1.042245662
22,0,0,44835,0,0.35,0.322,1.04709536,0.996663371,0.122518982,0.8734,0.6832,0,0,0.5731,1.046222574
23,0,0,44866,0,0.2,0.132,1.049061764,1.018042511,0.287815989,0.8969,0.7409,0,0,0.4854,1.050199485
24,0,0,44896,0,0.25,0,1.051028169,1.036702916,0.465663243,0.9281,0.9388,0,0,0.3251,1.054176397
25,0,0,44927,0,0.1,0.08,1.052800873,1.03615917,0.478928093,0.8109,0.5855,0,0,0.2295,1.057968906
26,0,0,44958,0,0.1,0.264,1.054767277,1.042585269,0.639044216,0.8734,0.6957,0,0,0.2608,1.062649319
27,0,0,44986,0,0,0.454,1.056733681,1.049752842,0.692907548,0.8656,0.6005,0,0,0.2854,1.067329733
28,0,0,45017,0,0.05,0.649,1.058700086,1.074962926,0.702956677,0.8188,0.7584,0,0,0.386,1.072010147
29,0,0,45047,0,0.2,0.851,1.06066649,1.080029659,0.571514069,0.85,0.6807,0,0,0.6632,1.076690561
30,0,0,45078,0,0.65,1,1.062632894,1.071749876,0.393845467,0.8344,0.6506,0,0,0.8842,1.081370975
31,0,0,45108,0,1,0.914,1.064599298,1.049382106,0.186167932,0.7563,0.6982,0,0,0.9076,1.086051389
32,0,0,45139,0,0.85,0.713,1.066565702,1.026272862,0.102201876,0.7406,0.6456,0,0,0.8526,1.090731802
33,0,0,45170,0,0.4,0.517,1.068532106,1.01255561,0.061424743,0.7641,0.7108,0,0,0.7029,1.095412216
34,0,0,45200,0,0.35,0.322,1.07049851,1.01255561,0.06057615,0.8188,0.6406,0,0,0.5591,1.10009263
35,0,0,45231,0,0.2,0.132,1.072464915,1.03393475,0.207963377,0.8031,0.5579,0,0,0.3649,1.104773044
36,0,0,45261,0,0.25,0,1.074431319,1.052595156,0.281701653,0.8656,0.8511,0,0,0.1579,1.109453458
37,0,0,45292,0,0.1,0.08,1.076397723,1.067795353,0.555886556,0.8813,0.8962,0,0,0.4175,1.113430369
38,0,0,45323,0,0.1,0.264,1.078364127,1.071749876,0.77861992,0.8188,0.8536,0,0,0.1942,1.117407281
39,0,0,45352,0,0,0.454,1.080330531,1.081141869,0.770759268,0.8891,0.801,0,0,0.3111,1.121384192
