observation,Linear_Regression,Penalised_Linear_Regression_Lasso_min,Penalised_Linear_Regression_Lasso_1se,Penalised_Polynomial_Regression_Lasso_min,Penalised_Polynomial_Regression_Lasso_1se,Random_Forest,Neural_Networks,Extent
1,0.8020271,0.8148557,0.81715,0.8789254,0.8761027,0.88095767,0.92048934,0.902
2,0.91233,0.9298622,0.9481167,0.8519844,0.8768113,0.9476685,0.9593172,0.99
3,0.9946851,1.0071081,1.0216316,0.9614883,0.9430864,0.95902892,0.96172389,0.996
4,1.0173709,1.0262439,1.0342842,0.9341434,0.9247618,0.92138508,0.91888895,0.947
5,0.8194401,0.8266752,0.8310445,0.7811398,0.8031957,0.80249875,0.80506171,0.816
6,0.6311376,0.6363877,0.6310517,0.6676955,0.668555,0.69688733,0.6965636,0.689
7,0.5011734,0.5081429,0.5031948,0.5176881,0.5282934,0.620412,0.51526083,0.522
8,0.4021824,0.4090266,0.4075573,0.3219736,0.3055113,0.36359983,0.32970922,0.352
9,0.3866603,0.3914302,0.3974149,0.2807037,0.2912308,0.31053442,0.26407702,0.327
10,0.471358,0.476312,0.4771016,0.3849773,0.3974512,0.41113475,0.42687011,0.448
11,0.6231311,0.6280874,0.6192433,0.6197886,0.6131745,0.60891083,0.65417001,0.624
12,0.7351547,0.7392311,0.7203379,0.7181426,0.7181741,0.76873217,0.7797822,0.8
13,0.7143867,0.7326151,0.7395216,0.7777495,0.7664526,0.87757692,0.88241744,0.906
14,1.0067882,1.0224016,1.032502,0.8830238,0.9109332,0.95233317,0.96793407,0.961
15,0.9847321,0.9974075,1.0064343,0.9381272,0.9314894,0.95954408,0.97457293,0.963
16,0.9640499,0.9698633,0.9698176,0.9178572,0.9209962,0.91815275,0.91553351,0.914
17,0.7485378,0.7522451,0.7490637,0.7296458,0.7401416,0.79972583,0.79801587,0.817
18,0.6275462,0.6318444,0.6260789,0.6753179,0.6726499,0.6845245,0.69143609,0.708
19,0.5018798,0.5067618,0.4984408,0.5034041,0.5134088,0.56577692,0.50967661,0.535
20,0.3907498,0.3963278,0.3956016,0.2983069,0.2832715,0.32813683,0.29765629,0.341
21,0.344025,0.3487143,0.3582054,0.2394702,0.2513858,0.291002,0.24555312,0.285
22,0.4260891,0.4332738,0.4420418,0.3719804,0.3855705,0.40972233,0.43189569,0.423
23,0.5937301,0.6035397,0.6072943,0.6483814,0.6418053,0.64386683,0.65268061,0.588
24,0.7362794,0.752136,0.7537295,0.7573565,0.7627894,0.74804933,0.76456335,0.78
25,0.9117088,0.9242034,0.9286246,0.8930333,0.9094535,0.903645,0.94446702,0.927
26,0.9112485,0.9220942,0.9264233,0.849885,0.8749245,0.95068292,0.95288204,0.99
27,0.979744,0.9860748,0.989591,0.9593749,0.9588958,0.95906167,0.96066796,0.996
28,1.0364758,1.0424639,1.0449559,0.9416224,0.9397451,0.92150158,0.91849228,0.95
29,0.8749547,0.8789093,0.8779033,0.8104536,0.835238,0.80396133,0.80717995,0.831
30,0.6602919,0.6631944,0.6573263,0.685232,0.6896495,0.70671708,0.70412977,0.712
31,0.5153542,0.5170531,0.5015443,0.4837997,0.4932407,0.54928567,0.50799384,0.543
32,0.4105764,0.4129776,0.4058462,0.2958465,0.279529,0.325845,0.33376978,0.365
33,0.359605,0.3634578,0.3709086,0.2369317,0.2440523,0.29872483,0.25728929,0.298
34,0.5158024,0.5189837,0.5227425,0.4392565,0.4591882,0.434497,0.43682617,0.467
35,0.5938147,0.5943594,0.5841781,0.5981217,0.5986074,0.58758108,0.58832889,0.644
36,0.6601198,0.667631,0.6544075,0.676426,0.6673024,0.7640325,0.79271853,0.804
37,0.8658138,0.8749915,0.871589,0.8949069,0.892787,0.88688467,0.90398396,0.908
38,0.9532671,0.9614723,0.9597545,0.8653116,0.8902494,0.95339692,0.96264845,0.994
39,0.9887734,0.9960237,1.0033965,0.9717752,0.9728907,0.96158608,0.97072519,1
40,0.9336987,0.9365995,0.9331005,0.8853774,0.8849354,0.915027,0.89775419,0.927
41,0.8276613,0.8265222,0.8145041,0.7935167,0.8058179,0.7841665,0.80050201,0.792
42,0.6429888,0.642409,0.6265287,0.6692167,0.6631215,0.682109,0.69130624,0.697
43,0.504766,0.5051294,0.4837699,0.4604339,0.4706951,0.508019,0.47378468,0.559
44,0.4191519,0.4213105,0.407439,0.2729055,0.2582647,0.302998,0.28817541,0.369
45,0.4032243,0.40532,0.4060044,0.2649362,0.2771529,0.29122683,0.26001726,0.305
46,0.5283759,0.5278256,0.5193281,0.397969,0.4198729,0.42677675,0.42851459,0.46
47,0.6243553,0.6292857,0.6185727,0.6068295,0.599157,0.60310733,0.64345129,0.63
48,0.655443,0.6607657,0.6404534,0.6608292,0.647536,0.74221458,0.7734097,0.777
49,0.8271448,0.8299158,0.8091254,0.8486356,0.8323848,0.89935133,0.9102148,0.871
50,1.2122135,1.1640538,1.1609588,0.9524609,0.9964358,0.96598317,0.98572075,0.937
51,1.1337148,1.1013235,1.1066689,0.9868714,0.9693223,0.980927,0.98431103,0.959
52,1.1663996,1.1174273,1.1076569,0.9775596,0.9838394,0.94927,0.93017741,0.914
53,0.9194611,0.884861,0.8717143,0.8119608,0.8311406,0.79941733,0.79477878,0.8
54,0.7063684,0.6647679,0.6440091,0.6629106,0.6576547,0.685711,0.68100869,0.685
55,0.5605465,0.5219849,0.5016801,0.4843983,0.4940498,0.52766,0.52625904,0.512
56,0.4660423,0.4347931,0.4191094,0.2872093,0.2718511,0.350673,0.36267788,0.335
57,0.3577614,0.3382423,0.3381901,0.1889459,0.1992228,0.27650042,0.29013259,0.259
58,0.5046396,0.4758898,0.4681748,0.3539916,0.3678739,0.43154175,0.44621794,0.399
59,0.7963747,0.7519326,0.7381046,0.7220346,0.7250115,0.6529505,0.62918658,0.581
60,0.9086767,0.8464299,0.8235226,0.7913322,0.8027082,0.74977225,0.7475083,0.752
61,0.8809118,0.842146,0.8307999,0.8128247,0.810655,0.902236,0.85256735,0.891
62,1.1132732,1.0572236,1.0464943,0.901017,0.9366327,0.96636117,0.97070992,0.95
63,1.17191,1.1247144,1.1172532,0.9758652,0.9541854,0.98039175,0.97315802,0.984
64,1.2626562,1.2093975,1.1975535,1.0088026,0.9968234,0.94544792,0.92658426,0.942
65,0.9141521,0.8703053,0.8511675,0.7760608,0.7924025,0.80057658,0.78975467,0.839
66,0.7244502,0.6820999,0.6604783,0.6714653,0.6676722,0.69424525,0.68056945,0.691
67,0.5791819,0.5347366,0.5113498,0.4867785,0.4966385,0.52690008,0.53250616,0.493
68,0.4787185,0.443264,0.4236998,0.2776517,0.262075,0.351224,0.36808294,0.306
69,0.3994523,0.3773602,0.372853,0.218912,0.2297778,0.29359333,0.3239971,0.25
70,0.5628749,0.5335456,0.5247833,0.4072238,0.4250811,0.46179367,0.45905803,0.398
71,0.6336894,0.6024357,0.5886544,0.5971945,0.5918328,0.61231067,0.61018149,0.595
72,0.6965805,0.6622881,0.6390025,0.6532077,0.6402717,0.76875833,0.78427344,0.757
73,0.9319965,0.8989606,0.879897,0.8737595,0.8663163,0.89965733,0.89693292,0.904
74,0.90581,0.8749763,0.8639041,0.817346,0.8229933,0.95975575,0.94671017,0.975
75,1.191339,1.1573936,1.160619,1.0142809,1.003104,0.97386258,0.98873858,0.986
76,1.1438091,1.1049573,1.0975639,0.9751336,0.983801,0.94776942,0.93162472,0.918
77,0.8746585,0.8407161,0.8289948,0.7887037,0.8035138,0.79703642,0.7932349,0.784
78,0.6869767,0.6517315,0.6330467,0.6594051,0.6526497,0.68890967,0.67404512,0.672
79,0.5317988,0.4942691,0.4737611,0.4493522,0.4591779,0.52806525,0.50729399,0.526
80,0.4205215,0.3955657,0.3857313,0.2644331,0.2508359,0.34326892,0.34300598,0.352
81,0.3807721,0.3611534,0.3576151,0.2036282,0.2124582,0.30153342,0.31677997,0.307
82,0.5142991,0.4927816,0.4889669,0.3786788,0.3985223,0.45276483,0.44673002,0.472
83,0.6824472,0.6510856,0.6417336,0.6521792,0.6502329,0.62175683,0.61012774,0.629
84,0.7335634,0.6987538,0.6819321,0.699949,0.6915046,0.77298925,0.77097325,0.771
85,0.9863961,0.9545214,0.9538421,0.8806241,0.8947654,0.91671925,0.87743846,0.911
86,1.1941484,1.173511,1.1878523,0.955032,0.9135717,0.96119533,0.9939515,0.997
87,1.0576216,1.0242161,1.0297665,0.9731743,0.9742091,0.97813242,0.97827637,0.978
88,1.063958,1.0235904,1.0161606,0.9513546,0.9585806,0.94209292,0.91163919,0.93
89,0.8330565,0.8060165,0.7994584,0.7708099,0.7841542,0.793295,0.78958354,0.812
90,0.6874506,0.6591564,0.6525692,0.6823584,0.6849423,0.6975685,0.69847704,0.712
91,0.5083571,0.4865712,0.4772363,0.4739627,0.4831447,0.51999642,0.5129069,0.54
92,0.3734099,0.3643161,0.366989,0.2771096,0.2597812,0.33710933,0.35151156,0.324
93,0.3551827,0.3578309,0.3715128,0.2652512,0.2737004,0.28369717,0.3576036,0.296
94,0.4298922,0.4224754,0.4341161,0.3771225,0.3859378,0.43839742,0.42803018,0.438
95,0.6544384,0.6355611,0.641227,0.687921,0.6857159,0.641887,0.59474754,0.611
96,0.7993402,0.7879695,0.7899314,0.7738706,0.7861216,0.777399,0.781913,0.727
97,0.8048423,0.7913529,0.7901966,0.8464773,0.8373877,0.89468025,0.88362283,0.843
98,0.9294279,0.9046129,0.9015185,0.8587749,0.8770635,0.95250575,0.95433687,0.959
