observation,year,Extent,Ave
1,1980,14.86304,
2,1980,15.9648,
3,1980,16.03992,
4,1980,15.42644,
5,1980,13.78632,
6,1980,12.19628,12.35
7,1980,10.10544,
8,1980,7.97704,
9,1980,7.66404,
10,1980,9.17896,
11,1980,11.38248,
12,1980,13.586,
13,1981,14.91312,
14,1981,15.60172,
15,1981,15.62676,
16,1981,15.01328,
17,1981,13.79884,
18,1981,12.43416,12.15
19,1981,10.2682,
20,1981,7.83932,
21,1981,7.1382,
22,1981,8.86596,
23,1981,10.93176,
24,1981,13.3356,
25,1982,15.17604,
26,1982,15.9648,
27,1982,16.03992,
28,1982,15.464,
29,1982,13.97412,
30,1982,12.48424,12.47
31,1982,10.36836,
32,1982,8.1398,
33,1982,7.30096,
34,1982,9.41684,
35,1982,11.63288,
36,1982,13.63608,
37,1983,14.93816,
38,1983,16.01488,
39,1983,16.09,
40,1983,15.17604,
41,1983,13.48584,
42,1983,12.29644,12.35
43,1983,10.56868,
44,1983,8.18988,
45,1983,7.3886,
46,1983,9.3292,
47,1983,11.4576,
48,1983,13.29804,
49,1984,14.47492,
50,1984,15.30124,
51,1984,15.57668,
52,1984,15.01328,
53,1984,13.586,
54,1984,12.1462,11.92
55,1984,9.98024,
56,1984,7.7642,
57,1984,6.81268,
58,1984,8.56548,
59,1984,10.84412,
60,1984,12.98504,
61,1985,14.72532,
62,1985,15.464,
63,1985,15.88968,
64,1985,15.36384,
65,1985,14.07428,
66,1985,12.22132,12.02
67,1985,9.74236,
68,1985,7.40112,
69,1985,6.7,
70,1985,8.55296,
71,1985,11.0194,
72,1985,13.04764,
73,1986,14.88808,
74,1986,15.777,
75,1986,15.91472,
76,1986,15.06336,
77,1986,13.38568,
78,1986,11.98344,12.23
79,1986,10.15552,
80,1986,7.97704,
81,1986,7.41364,
82,1986,9.47944,
83,1986,11.44508,
84,1986,13.22292,
85,1987,14.97572,
86,1987,16.05244,
87,1987,15.81456,
88,1987,15.2136,
89,1987,13.73624,
90,1987,12.48424,12.2
91,1987,10.3308,
92,1987,7.62648,
93,1987,7.27592,
94,1987,9.05376,
95,1987,11.21972,
96,1987,12.67204,
97,1988,14.12436,
98,1988,15.57668,
99,1988,15.9648,
